        Gene.ID reMappedID    controlMean    treatedMean  retainClean
158     PPIAL4A    PPIAL4A    0.201851852   0.0284615385  T
594      FAM21A    WASHC2A   16.400000000  21.9413461538  T
878    ARHGAP42   ARHGAP42    2.808518519   3.2842307692  T
1125      RPS17      RPS17 1267.868888889 965.4594230769  T
1730   PRAMEF21   PRAMEF20    0.000000000   0.0000000000  F
2553    PTPN20B     PTPN20    0.001851852   0.0180769231  F
2811     CXorf1    SLITRK2    5.196666667   3.3123076923  F
3037     NBPF11     NBPF11   16.832962963  15.9475000000  F
3756      LSMD1      NAA38   45.545925926  44.7157692308  T
3769     SPANXE     SPANXD    0.017777778   0.0092307692  T
3869     NBPF24     NBPF11   18.991481481  16.3644230769  T
4193       NARR      RAB34    0.655185185   0.3346153846  F
4410    TMEM133   ARHGAP42    2.137037037   2.4992307692  F
4423     CC2D2B     CC2D2B    0.043333333   0.0515384615  F
5316    SLITRK2    SLITRK2   51.034444444  41.8573076923  T
5413     GATSL2    CASTOR2   73.106296296  74.9328846154  T
5449     GATSL1    CASTOR2    0.000000000   0.0000000000  F
5528     CT45A4     CT45A3    0.041111111   0.0255769231  T
6242    CXorf30     CFAP47    0.033333333   0.0757692308  F
6571    CXorf22     CFAP47    0.059629630   0.0923076923  T
6740       SCXB        SCX    0.995555556   1.2100000000  F
6835       SCXA        SCX    0.995555556   1.2100000000  T
6880     CT45A3     CT45A3    0.034444444   0.0163461538  F
6945    FAM75A4  SPATA31A7    0.000000000   0.0015384615  T
7389    PTPN20A     PTPN20    0.001851852   0.0180769231  T
7871     RPS17L      RPS17 1267.868888889 965.4594230769  F
7977    FAM75A1  SPATA31A1    0.002962963   0.0009615385  T
8172    FAM75A2  SPATA31A1    0.000000000   0.0000000000  F
8183    SPANXB2    SPANXB1    0.007777778   0.0076923077  F
8533     GPR89B     GPR89B    7.184444444   7.8657692308  T
8540      AGAP8      AGAP4    1.920740741   1.7225000000  F
8796      NAA38      NAA38    8.694814815   8.3417307692  F
9226       LCOR       LCOR   13.278518519  12.1357692308  T
9369    FOXD4L4    FOXD4L4    0.315925926   0.8828846154  T
9586    ANXA8L2    ANXA8L1    0.000000000   0.0065384615  F
9652   PRAMEF20   PRAMEF20    0.000000000   0.0000000000  T
9793      SHFM1       SEM1  275.158518519 222.8026923077  T
11111    NBPF15     NBPF15   41.497037037  36.1296153846  T
11395   PPIAL4B    PPIAL4A    0.011851852   0.0275000000  F
11400    SPANXD     SPANXD    0.005555556   0.0126923077  F
11418 C10orf131     CC2D2B    0.485925926   0.5201923077  T
11451    PNMA6C     PNMA6A   29.652222222  50.2946153846  T
11625   FAM75A7  SPATA31A7    0.005185185   0.0009615385  T
11767     AGAP4      AGAP4    6.647037037   5.8880769231  T
11802    FAM21B    WASHC2A    5.825925926   6.9182692308  F
12013  C10orf12       LCOR    3.720000000   3.4282692308  F
12651    XAGE2B      XAGE2    0.000000000   0.0000000000  F
14050  C10orf68      CCDC7    0.222222222   0.2975000000  F
14453   ANXA8L1    ANXA8L1    0.017407407   0.0098076923  T
15124    GPR89C     GPR89B    1.916666667   2.3326923077  F
16132     XAGE2      XAGE2    0.000000000   0.0000000000  T
16453   FOXD4L2    FOXD4L4    0.315925926   0.8828846154  F
16761   CXorf59     CFAP47    0.051111111   0.0592307692  F
17094    NBPF16     NBPF15   23.514814815  21.5296153846  F
17116     RAB34      RAB34   27.778148148  24.7580769231  T
17135   SPANXB1    SPANXB1    0.007777778   0.0076923077  T
18091    PNMA6A     PNMA6A    0.886296296   1.2878846154  F
18275   SPANXF1    SPANXB1    0.007777778   0.0076923077  F
18321     CCDC7      CCDC7    0.351481481   0.4611538462  T
18838  FLJ42280       SEM1    0.043333333   0.0361538462  F
